"index","freq","n","first","last","mean","median","sd","min","max","skew","kurtosis","jb"
"VN30","1D",2963,2014-02-06,2025-12-12,0.000375991373111266,0.00117194075841187,0.0121307131114638,-0.0705221894308785,0.0667004684700556,-0.83365095341496,7.81195974980066,3201.87363800912
"VN30","M30",21942,2017-01-03,2025-12-12,5.03937773832211e-05,5.43181061338771e-05,0.0038882382203195,-0.0627594471479505,0.066700483162129,-1.6237255073454,36.1572175058074,1014769.0546424
"VN30","H1",13523,2014-01-27,2024-12-09,5.62285426815301e-05,0.000143537236198199,0.00505985093257306,-0.0637774728631282,0.0381731974003792,-1.33446332377985,18.1983656615893,134167.029224196
"VN30","H4",5410,2014-01-27,2024-12-09,0.000140953452035631,0.000572964772596052,0.00836256332516095,-0.0693073403190567,0.0439023595223,-1.16682258403924,11.2285230582027,16490.2416233415
"VN100","1D",2963,2014-02-06,2025-12-12,0.00039554076284322,0.00122360160410651,0.0119104321834541,-0.0701280719680328,0.066180165744016,-0.963184814849662,8.20570257739567,3803.78079043491
"VN100","M30",21942,2017-01-03,2025-12-12,4.91434004714948e-05,6.62383270566558e-05,0.00384183444734854,-0.0615592644377232,0.0660147438765222,-1.83324640305119,37.6342101840895,1108959.36262077
"VN100","H1",13523,2014-01-27,2024-12-09,6.38583451082025e-05,0.000208258240970594,0.00496399089645615,-0.0636031010297868,0.03653105301035,-1.50182987168798,19.3601459886159,155895.594267757
"VN100","H4",5410,2014-01-27,2024-12-09,0.000159754692658005,0.000664633915912649,0.00822626140514674,-0.0684508854528323,0.0421614369287653,-1.29911580000672,11.7633601240788,18832.9511951572
"VNINDEX","1D",2963,2014-02-06,2025-12-12,0.000372573337527043,0.00125007782921305,0.0115407873495206,-0.0691023592729563,0.0654689746166826,-0.978759537282106,8.26703405080771,3898.01522083436
"VNINDEX","M30",21942,2017-01-03,2025-12-12,4.20337819683456e-05,6.15498747609244e-05,0.00367544461014416,-0.0614260478448774,0.0640815036258466,-2.03828017813054,40.6441637495774,1310761.51294351
"VNINDEX","H1",13523,2014-01-27,2024-12-09,6.11478881935371e-05,0.000215011378513985,0.00485916399847644,-0.0624917508167036,0.0332126091751279,-1.56483271542,19.5444594935676,159748.295288928
"VNINDEX","H4",5410,2014-01-27,2024-12-09,0.000152860385342703,0.000647655005192593,0.00804381344646365,-0.0668032673582326,0.0411147694776366,-1.31255323795357,11.9889633636696,19767.3840343813
"Pcap","1D",2963,2014-02-06,2025-12-12,0.000437586508636205,0.00135559205437906,0.0123840170816072,-0.0692804259349549,0.0650611274285282,-1.07212448920253,8.14588776953715,3836.83371513839
"Pcap","M30",21942,2017-01-03,2025-12-12,4.64541589914945e-05,5.67118757158587e-05,0.00409128846863716,-0.0644150509303065,0.0645398937621087,-1.8698637224454,33.9391456644394,887934.498441979
"Pcap","H1",13523,2014-01-27,2024-12-09,8.02681020203693e-05,0.000247578284904252,0.00520893651022821,-0.0632280717384047,0.0360120707588293,-1.51263432835027,18.8084119397526,145968.466956845
"Pcap","H4",5410,2014-01-27,2024-12-09,0.000200191360740231,0.000738167592306735,0.00859575191473855,-0.0666088697130991,0.0416194329629907,-1.33375843047588,11.6914883092458,18632.4041004878
