"start","end","trading_days","max_drawdown_pct","share_high_vol_days","peak_vol_ann_pct"
"2018-01-01","2018-12-31",249,-26.2087604833185,0.465863453815261,36.5431397030605
"2020-01-01","2020-06-30",121,-33.5111847817958,0.520661157024793,52.5085111499005
"2022-04-01","2022-11-30",169,-40.1915095681455,0.597633136094675,42.2210963448994
"2025-03-01","2025-06-30",82,-18.1072515207311,0.304878048780488,48.8005068459257
