"panel","pair","regime","rho_static","rho_regime","RE_pct","ci_lo","ci_hi"
"A","VN30-VNINDEX","low",0.966696502478034,0.958758551474047,0.404895432256301,0.0215460795017569,0.353366213138299
"A","VN30-VNINDEX","high",0.966696502478034,0.977874049385954,-0.564845029092576,-0.494894634449623,-0.413579326731265
"A","VN30-VN100","low",0.988475553767435,0.982836392669972,0.284393440515445,0.25052215096399,0.335221741380352
"A","VN30-VN100","high",0.988475553767435,0.992322538235073,-0.193078574783625,-0.240755685435623,-0.202558758268003
"A","VN100-VNINDEX","low",0.975678392111384,0.965507379714551,0.517141761910693,0.467680561102249,0.609774604126172
"A","VN100-VNINDEX","high",0.975678392111384,0.984745834756395,-0.45676005285569,-0.479793994330529,-0.387912135482418
"A","Pcap-VN30","low",0.888579956584272,0.847333698807182,2.22871384393749,2.22581993405402,2.58735683851058
"A","Pcap-VN30","high",0.888579956584272,0.924041114035295,-1.84305034331084,-2.1571725470531,-1.96169892763214
"B","VN30-VNINDEX","low",0.966696502478034,0.921230448617455,2.35378321910099,2.09134107738485,3.19331653804331
"B","VN30-VNINDEX","high",0.966696502478034,0.980867570389829,-0.714965003616817,-0.88633102415616,-0.661175483504956
"B","VN30-VN100","low",0.988475553767435,0.973195542702511,0.773494970935668,0.652983158616952,0.791062439370314
"B","VN30-VN100","high",0.988475553767435,0.992499734795725,-0.201964388187337,-0.200414820617363,-0.153669283916651
"B","VN100-VNINDEX","low",0.975678392111384,0.934272269637922,2.13739147185744,2.10181000820023,2.85660521618545
"B","VN100-VNINDEX","high",0.975678392111384,0.986623144044045,-0.550671538977054,-0.72358451687048,-0.491092460344718
"B","Pcap-VN30","low",0.888579956584272,0.726541967620181,9.38458240331189,6.43566839232874,12.1348956751815
"B","Pcap-VN30","high",0.888579956584272,0.928433815100463,-2.06616947958579,-2.44609215565858,-2.06081796829738
