"timeframe","pair","q","lambda_xy","h_x","h_y"
"1D","Pcap-VN30",-3,0.956059792169468,0.682157383236696,0.667380662363288
"1D","Pcap-VN30",-2,0.813938215243744,0.655875600662683,0.637126848281962
"1D","Pcap-VN30",-1,0.670057151194494,0.629437414661049,0.612159530521636
"1D","Pcap-VN30",1,0.572865317663169,0.573415028344183,0.565076709439564
"1D","Pcap-VN30",2,0.540077663434467,0.54349162619149,0.537178596713467
"1D","Pcap-VN30",3,0.509023885823111,0.514461636599651,0.50778148464874
"1D","Pcap-VN30",4,0.480376282806005,0.487714724762645,0.479599588603384
"1D","Pcap-VN30",5,0.454885915719529,0.463732468465902,0.454431942640479
"1D","Pheur-VN30",-5,0.856075785328747,0.7037958904936,0.727467296422987
"1D","Pheur-VN30",-4,0.805018294067659,0.679942775922326,0.69895799719365
"1D","Pheur-VN30",-3,0.727686460614951,0.652514598742282,0.667380662363288
"1D","Pheur-VN30",-2,0.613480119524756,0.624776984281228,0.637126848281962
"1D","Pheur-VN30",-1,0.528365439165533,0.600651848909608,0.612159530521636
"1D","Pheur-VN30",1,0.5310284000686,0.559969270266601,0.565076709439564
"1D","Pheur-VN30",2,0.526006895146369,0.539149227077931,0.537178596713467
"1D","Pheur-VN30",3,0.513729872103757,0.51737686141686,0.50778148464874
"1D","Pheur-VN30",4,0.498381322868803,0.496013226841727,0.479599588603384
"1D","Pheur-VN30",5,0.482708542107027,0.47649598218204,0.454431942640479
"1D","Pratio-VN30",-5,0.867604765715447,0.690016862784687,0.727467296422987
"1D","Pratio-VN30",-4,0.817424212201578,0.669273369141998,0.69895799719365
"1D","Pratio-VN30",-3,0.74128630289375,0.645555420720033,0.667380662363288
"1D","Pratio-VN30",-2,0.631409473707771,0.620790459150631,0.637126848281962
"1D","Pratio-VN30",-1,0.552047434670362,0.597951832719409,0.612159530521636
"1D","Pratio-VN30",1,0.543093028714476,0.558348371040492,0.565076709439564
"1D","Pratio-VN30",2,0.531173955885399,0.53827979979245,0.537178596713467
"1D","Pratio-VN30",3,0.515791260886856,0.517265461046333,0.50778148464874
"1D","Pratio-VN30",4,0.499469072103655,0.49636978335138,0.479599588603384
"1D","Pratio-VN30",5,0.483796871793593,0.47694717735854,0.454431942640479
"1D","Pres-VN30",-5,0.896506231215178,0.728404982381972,0.727467296422987
"1D","Pres-VN30",-4,0.845053369582822,0.700827496107769,0.69895799719365
"1D","Pres-VN30",-3,0.766120632268474,0.668093484820924,0.667380662363288
"1D","Pres-VN30",-2,0.654169445385897,0.634944604230249,0.637126848281962
"1D","Pres-VN30",-1,0.57341343093885,0.607302554106747,0.612159530521636
"1D","Pres-VN30",1,0.548786422245751,0.562866551832393,0.565076709439564
"1D","Pres-VN30",2,0.534294974195965,0.540451960267984,0.537178596713467
"1D","Pres-VN30",3,0.515305334790191,0.517466205205033,0.50778148464874
