"timeframe","s","worst_case_abs_error"
"H4",5,0.0148690143906275
"H4",6,0.0135247759922881
"H4",7,0.014392843935941
"H4",8,0.0138405662064037
"H4",9,0.015390083570361
"H4",10,0.0169422556212849
"H4",12,0.0165378751624041
"H4",14,0.0173066152354749
"H4",16,0.0174849344503673
"H4",18,0.0183555435133009
"H4",21,0.0193044843505604
"H4",24,0.0209600949639724
"H4",28,0.0240618271161892
"H4",32,0.0276920424431372
"H4",37,0.0279153148831145
"H4",43,0.0294726390447539
"H4",50,0.0344098950512447
"H4",57,0.0371989378171068
"H4",66,0.0438817266781273
"H4",77,0.0404114044280149
"H4",88,0.0437697339513769
"H4",102,0.0502735854515129
"H4",118,0.0526050038143573
"H4",136,0.0547645359682002
"H4",157,0.0571787198136268
"H4",181,0.0631071085763299
"H4",209,0.067400595478006
"H4",241,0.0691083509797516
"H4",279,0.0765930669793863
"H4",322,0.0813085148483493
"H4",371,0.0819614813545232
"H4",429,0.0931503041547835
"H4",495,0.104449041420324
"H4",571,0.0989275477174281
"H4",659,0.110768118560909
"H4",761,0.126512062532514
"H4",879,0.140725255370484
"H4",1015,0.135584459553262
"H4",1171,0.153219466414333
"H4",1352,0.175193428481827
