"panel","pair","n_low","n_high","rho_low","rho_high","delta","rho_star","diff","ci_lo","ci_hi","boot_se","p_one_sided","power_at_0.05"
"A","VN30-VNINDEX",1000,539,0.958758551474047,0.977874049385954,2.20895140703633,0.933781271393345,-0.0249772800807015,-0.0244083974566245,-0.0190554373406376,0.00285631579040783,1,1
"A","VN30-VN100",1000,539,0.982836392669972,0.992322538235073,2.20895140703633,0.975971410656381,-0.00686498201359076,-0.0139846502505989,-0.00985001821787379,0.00242451258433188,1,1
"A","VN100-VNINDEX",1000,539,0.965507379714551,0.984745834756395,2.20895140703633,0.953381874190138,-0.0121255055244123,-0.0100941908788737,0.00735429620710299,0.00919913081587836,1,0.999924810425398
"A","Pcap-VN30",1000,539,0.847333698807182,0.924041114035295,2.20895140703633,0.803412605313508,-0.0439210934936736,-0.0574756173186985,-0.0361217993259953,0.0127517604608889,1,0.988582189422661
"B","VN30-VNINDEX",739,739,0.921230448617455,0.980867570389829,7.06003206932475,0.871214202389568,-0.0500162462278866,-0.0670573477355292,-0.0424433734613673,0.0148205605580961,1,0.958080947082688
"B","VN30-VN100",739,739,0.973195542702511,0.992499734795725,7.06003206932475,0.943951404628079,-0.0292441380744317,-0.0328886745999134,-0.0226289166510218,0.00573753370373334,1,0.999999999999224
"B","VN100-VNINDEX",739,739,0.934272269637922,0.986623144044045,7.06003206932475,0.905342228414093,-0.0289300412238285,-0.0247243344911468,-0.00586133043184426,0.0102675751305691,1,0.999369796301799
"B","Pcap-VN30",739,739,0.726541967620181,0.928433815100463,7.06003206932475,0.660750985450702,-0.0657909821694784,-0.13011736825042,-0.0473729335513304,0.0470375463714141,1,0.280326110330637
