"panel","timeframe","n","first","last","nested_mean","VN30-VNINDEX","VN30-VN100","VN100-VNINDEX","Pcap-VN30","gap"
"A","1D",1983,2017-01-03,2024-12-09,0.980032822542055,0.97022882072435,0.988044177842365,0.981825469059449,0.890444138992134,0.0895886835499207
"A","M30",19463,2017-01-03,2024-12-09,0.978606709005585,0.967824856644991,0.987881247557193,0.98011402281457,0.88958155457488,0.0890251544307049
"A","H1",9879,2017-01-03,2024-12-09,0.97944973265313,0.969070329086944,0.987912397585333,0.981366471287112,0.890722276091889,0.0887274565612405
"A","H4",3953,2017-01-03,2024-12-09,0.980254918384607,0.970568785045207,0.987998790977267,0.982197179131346,0.89154217481097,0.0887127435736362
"B","1D",2963,2014-02-06,2025-12-12,0.976689394108862,0.9665156091196,0.987638573892592,0.975913999314395,0.883676706877398,0.0930126872314647
"B","M30",21942,2017-01-03,2025-12-12,0.979037525507361,0.968907970306916,0.986902330111244,0.981302276103922,0.882867918079873,0.0961696074274879
"B","H1",13523,2014-01-27,2024-12-09,0.975485928927008,0.964252908962434,0.988147721352433,0.974057156466158,0.889139916724898,0.08634601220211
"B","H4",5410,2014-01-27,2024-12-09,0.976361393217901,0.965969698193002,0.988230069763294,0.974884411697407,0.889573429593901,0.0867879636240003
